"","vote","party.id","class","ethnicity","gender","mobility","inequality","btry","immcult","immcrime","immecon","bviolent","bhard","wappr","wfavors","wcontrol","jobworry","econstate","econgood","econnext","econfin","econahead","anxiety","bv","racism","xphobia"
"53",0,"rep","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,2,1,-6,4,4,NA,NA,NA,NA,NA,NA
"54",1,"rep","don't know/refuse","white","male",3,38,4,3,3,2,4,4,3,3,4,1,3,3,3,2,2,5,3,11,8
"55",0,"dem","don't know/refuse","white","female",1,44,2,2,1,2,4,1,-9,5,-9,1,2,1,2,1,3,5,3,6,5
"56",0,"ind","don't know/refuse","white","female",2,32,3,1,3,2,4,2,4,5,5,1,3,2,3,2,4,7,3,8,6
"57",0,NA,"middle","nonwhite","female",2,-8,1,2,2,5,7,1,5,2,5,5,3,2,1,2,1,8,5,7,9
"58",0,"dem","don't know/refuse","nonwhite","male",2,32,5,1,1,1,5,5,2,5,1,NA,3,3,3,3,2,NA,4,14,3
"59",0,"dem","working","white","female",1,32,1,1,1,1,4,1,5,5,5,1,3,3,3,3,4,8,3,5,3
"60",0,"ind","don't know/refuse","white","male",2,27,4,4,5,3,6,3,2,4,2,3,2,3,2,5,4,12,5,12,12
"61",0,"dem","middle","nonwhite","male",3,81,NA,3,3,3,-9,4,3,3,3,NA,2,2,3,3,3,NA,NA,NA,9
"62",0,"dem","don't know/refuse","nonwhite","female",2,80,4,4,4,4,4,4,4,3,3,NA,2,4,-2,2,1,NA,3,11,12
"63",1,"ind","don't know/refuse","white","male",2,50,3,3,3,3,4,3,3,5,3,1,3,5,2,1,3,5,3,9,9
"64",1,"rep","don't know/refuse","white","female",3,81,3,1,2,2,4,3,4,4,3,NA,2,4,3,1,1,NA,3,9,5
"65",0,"dem","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,1,-6,1,1,-6,4,1,NA,NA,NA,NA,NA,NA
"66",0,"ind","working","white","female",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,5,3,-6,4,3,NA,NA,NA,NA,NA,NA
"67",0,"dem","middle","white","male",3,80,1,1,1,1,3,1,5,5,5,1,2,2,3,1,3,5,2,4,3
"68",0,"ind","working","white","female",1,30,4,3,3,4,3,3,2,2,2,1,2,4,1,2,3,6,2,9,10
"69",0,"ind","don't know/refuse","white","female",2,52,5,4,4,4,7,5,2,3,2,1,4,4,1,3,4,8,5,15,12
"70",0,"dem","lower","white","male",2,17,3,1,1,1,4,2,3,5,5,1,1,2,2,3,3,7,3,8,3
"71",0,"dem","working","nonwhite","female",2,1,4,1,2,1,7,4,1,5,1,5,3,3,3,3,2,10,5,13,4
"72",0,"dem","middle","nonwhite","female",3,48,2,3,2,2,4,2,3,4,2,1,1,2,3,3,3,7,3,7,7
"73",0,"dem","working",NA,"male",2,48,5,1,1,2,5,4,4,4,4,1,2,4,2,4,4,9,4,13,4
"74",0,"ind","working","nonwhite","female",2,26,4,1,1,2,4,2,5,5,5,1,2,3,2,2,3,6,3,9,4
"75",0,"dem","lower","nonwhite","female",2,32,4,1,2,1,7,2,2,5,3,NA,2,2,3,3,4,NA,5,11,4
"76",0,"rep","don't know/refuse","nonwhite","male",2,50,4,1,3,2,6,5,1,2,4,5,4,4,3,4,4,13,5,14,6
"77",1,"ind","don't know/refuse","white","female",2,27,3,3,4,3,6,2,3,-8,3,5,3,4,3,5,3,13,5,10,10
"78",0,"ind","don't know/refuse","white","male",2,75,1,4,4,1,2,1,1,5,2,1,3,4,3,3,5,9,1,3,9
"79",0,"ind","don't know/refuse","white","female",2,13,3,4,3,4,4,3,3,4,3,1,4,5,3,3,4,8,3,9,11
"80",0,"dem","don't know/refuse","nonwhite","female",1,32,5,5,2,2,5,5,2,2,3,NA,2,3,3,2,1,NA,4,14,9
"81",0,"ind","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,-9,-6,-9,NA,-6,3,3,NA,NA,NA,NA,NA,NA
"82",0,NA,"don't know/refuse","nonwhite","female",2,26,4,3,2,2,2,4,3,5,3,5,4,3,1,5,3,13,1,9,7
"83",0,"dem","working","white","male",1,17,3,2,2,2,5,4,4,3,3,NA,2,5,5,1,1,NA,4,11,6
"84",0,"dem","don't know/refuse","nonwhite","female",2,32,4,1,3,5,7,5,2,1,5,NA,1,4,3,2,4,NA,5,14,9
"85",0,"ind","don't know/refuse","nonwhite","male",2,34,1,1,1,1,4,1,4,4,4,1,2,2,2,3,3,7,3,5,3
"86",0,NA,"don't know/refuse","white","male",3,-8,2,2,2,3,2,2,4,4,3,1,3,3,3,2,3,6,1,5,7
"87",0,"ind","middle","white","male",2,50,4,1,1,2,6,4,5,4,3,1,2,4,3,2,3,6,5,13,4
"88",1,"ind","middle","white","male",2,50,4,2,4,3,4,2,1,3,2,3,4,5,4,2,5,10,3,9,9
"89",1,"rep","don't know/refuse","white","female",2,50,5,2,4,2,3,4,4,4,4,NA,4,5,2,1,3,NA,2,11,8
"90",0,"rep","middle","white","female",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,2,NA,-6,4,4,NA,NA,NA,NA,NA,NA
"91",0,"rep","middle","white","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,4,-2,NA,NA,NA,NA,NA,NA
"92",0,"dem","don't know/refuse","nonwhite","female",3,24,5,1,1,2,2,4,2,5,2,1,3,3,3,1,1,3,1,10,4
"93",0,"dem","middle","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,-9,-6,-9,5,-6,2,2,NA,NA,NA,NA,NA,NA
"94",0,"dem","don't know/refuse","white","male",1,800,3,1,1,2,4,3,3,4,3,2,1,1,2,1,1,4,3,9,4
"95",1,"ind","lower",NA,"female",2,48,4,2,2,2,5,3,5,4,4,NA,4,4,3,2,1,NA,4,11,6
"96",0,"rep","don't know/refuse","white","male",3,5,3,3,4,4,4,2,5,3,3,1,3,3,4,2,3,6,3,8,11
"97",0,"rep","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,1,-6,5,1,NA,NA,NA,NA,NA,NA
"98",0,"dem","working","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,1,-6,1,4,-6,2,2,NA,NA,NA,NA,NA,NA
"99",0,NA,"working","white","female",2,50,4,3,3,4,3,3,3,4,4,NA,5,5,3,4,4,NA,2,9,10
"100",1,"rep","don't know/refuse","white","female",2,50,5,3,3,4,6,3,4,3,4,NA,3,4,3,2,2,NA,5,13,10
"101",0,"dem","don't know/refuse","white","female",2,44,2,1,2,2,4,2,5,5,5,1,2,2,3,1,4,6,3,7,5
"102",0,"dem","working","white","female",2,81,4,1,1,2,5,4,5,5,5,1,2,2,3,2,1,4,4,12,4
"103",0,"ind","middle","white","male",1,31,4,1,2,2,5,2,2,4,2,1,2,3,3,2,2,5,4,10,5
"104",0,"dem","middle","white","female",3,81,1,1,1,1,1,1,5,5,5,1,1,2,-2,1,4,6,1,3,3
"105",0,"rep","middle","white","male",3,48,5,NA,NA,NA,-9,4,-9,-8,-9,NA,-8,4,4,3,1,NA,NA,NA,NA
"106",1,"dem","don't know/refuse",NA,"female",2,-8,5,5,5,4,-9,5,2,3,1,NA,5,1,1,5,1,NA,NA,NA,14
"107",0,"ind","don't know/refuse","white","male",2,41,2,2,2,2,4,2,4,4,4,2,3,3,2,2,3,7,3,7,6
"108",0,"rep","working","white","male",3,800,2,1,2,2,3,1,4,5,4,2,3,3,2,2,4,8,2,5,5
"109",0,"ind","don't know/refuse","white","female",1,800,4,3,3,3,4,3,4,3,2,NA,2,3,2,4,2,NA,3,10,9
"110",0,"ind","don't know/refuse","nonwhite","male",3,48,3,4,2,3,4,2,3,3,3,NA,3,4,3,3,4,NA,3,8,9
"111",0,"ind","don't know/refuse","white","female",2,46,5,4,4,4,7,5,3,5,3,5,3,4,-2,5,4,14,5,15,12
"112",1,"ind","middle","white","female",2,38,5,3,3,2,5,5,2,3,2,NA,5,4,3,5,4,NA,4,14,8
"113",1,"ind","don't know/refuse",NA,"male",2,52,4,2,4,2,4,2,3,4,2,1,3,2,3,3,3,7,3,9,8
"114",0,"ind","don't know/refuse","nonwhite","male",2,50,4,3,3,3,4,4,3,4,3,NA,3,3,2,1,4,NA,3,11,9
"115",0,"dem","don't know/refuse","nonwhite","male",2,32,3,1,3,2,4,2,3,-8,2,NA,3,3,3,1,3,NA,3,8,6
"116",1,NA,"lower","white","female",2,800,5,4,3,3,-5,5,2,4,2,2,4,4,4,4,4,10,NA,NA,10
"117",1,"ind","don't know/refuse","white","male",2,40,4,2,1,4,5,4,1,4,2,2,4,4,4,4,5,11,4,12,7
"118",0,"dem","don't know/refuse","nonwhite","male",2,81,3,3,2,4,3,3,3,4,2,2,4,3,2,3,4,9,2,8,9
"119",0,"dem","don't know/refuse","white","female",1,50,5,1,4,3,7,5,3,4,2,1,2,2,2,1,3,5,5,15,8
"120",1,"rep","don't know/refuse","white","female",2,81,3,4,4,4,6,4,4,3,4,2,4,3,3,5,4,11,5,12,12
"121",1,NA,"lower","white","female",2,7,5,1,2,2,4,5,1,4,1,NA,3,5,3,1,4,NA,3,13,5
"122",0,"rep","don't know/refuse","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,5,1,-6,3,3,NA,NA,NA,NA,NA,NA
"123",0,"ind","don't know/refuse","nonwhite","female",3,81,4,2,2,2,5,4,4,5,4,1,3,2,3,3,3,7,4,12,6
"124",0,NA,"working","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,4,-2,NA,NA,NA,NA,NA,NA
"125",0,"rep","middle","white","male",2,50,5,4,4,3,6,5,2,3,2,3,4,4,4,1,4,8,5,15,11
"126",0,"rep","middle","nonwhite","female",2,26,4,1,2,4,5,4,4,4,5,1,3,4,2,2,3,6,4,12,7
"127",0,"ind","don't know/refuse","white","female",2,800,2,1,1,2,3,1,5,5,5,1,2,3,3,1,2,4,2,5,4
"128",1,"rep","don't know/refuse","white","male",2,64,2,1,1,2,4,2,3,4,3,2,3,3,3,2,4,8,3,7,4
"129",0,"ind","don't know/refuse","white","male",1,27,3,2,4,1,5,3,-9,4,-9,1,3,2,4,3,1,5,4,10,7
"130",1,"ind","don't know/refuse","nonwhite","female",2,5,5,5,4,3,7,5,1,5,1,3,2,4,3,2,4,9,5,15,12
"131",0,"dem","working","white","male",1,-8,4,4,4,4,2,4,5,3,3,NA,4,4,2,2,3,NA,1,9,12
"132",0,"ind","working","white","female",2,34,4,3,3,2,6,4,4,4,4,2,3,4,4,3,4,9,5,13,8
"133",0,"ind","middle","white","female",2,32,5,1,2,4,4,4,2,3,2,NA,2,4,3,3,2,NA,3,12,7
"134",1,"rep","don't know/refuse","white","female",2,5,5,3,4,3,7,5,2,2,3,1,5,4,2,3,4,8,5,15,10
"135",0,"ind","don't know/refuse","white","male",2,27,1,1,1,1,4,1,5,5,5,1,4,5,4,1,4,6,3,5,3
"136",0,"dem","middle","white","male",2,52,5,3,3,2,2,4,4,3,4,3,2,2,3,3,3,9,1,10,8
"137",0,"ind","lower","white","female",2,81,5,1,2,2,5,2,5,4,4,NA,2,5,4,4,4,NA,4,11,5
"138",0,"rep","middle","white","female",2,40,2,2,4,4,5,2,5,4,5,NA,3,3,2,1,4,NA,4,8,10
"139",0,"rep","don't know/refuse","white","female",2,800,4,3,4,4,4,5,2,2,4,NA,4,4,3,1,1,NA,3,12,11
"140",1,"ind","middle","white","female",1,32,5,4,5,2,5,5,5,4,5,1,3,2,2,2,1,4,4,14,11
"141",0,"dem","working","white","female",2,800,3,1,1,1,4,3,5,4,5,1,2,3,3,3,3,7,3,9,3
"142",0,"rep","middle","white","female",2,50,5,4,4,4,5,4,3,3,3,NA,4,4,3,2,3,NA,4,13,12
"143",0,"dem","don't know/refuse","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,3,-6,3,3,NA,NA,NA,NA,NA,NA
"144",1,NA,"don't know/refuse","white","female",3,-9,3,4,5,4,4,4,5,5,5,NA,-8,3,3,2,4,NA,3,10,13
"145",0,"dem","don't know/refuse","nonwhite","male",2,-4,4,3,4,2,-5,2,3,4,3,1,2,2,1,4,3,8,NA,NA,9
"146",0,"dem","don't know/refuse","white","male",2,42,1,1,1,1,4,1,5,5,5,1,2,2,2,3,3,7,3,5,3
"147",0,"rep","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,1,2,-6,2,3,NA,NA,NA,NA,NA,NA
"148",0,"ind","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,4,3,NA,NA,NA,NA,NA,NA
"149",0,"dem","don't know/refuse","nonwhite","female",1,32,1,1,3,3,-9,1,3,4,3,1,3,4,3,3,4,8,NA,NA,7
"150",0,"ind","don't know/refuse","white","male",2,800,4,3,4,3,5,3,3,4,3,2,2,1,3,NA,4,NA,4,11,10
"151",0,"dem","don't know/refuse","white","male",1,81,5,4,5,2,5,4,3,2,3,NA,2,2,3,3,1,NA,4,13,11
"152",0,"dem","middle","white",NA,2,800,3,1,1,1,2,2,4,5,3,1,2,2,2,2,3,6,1,6,3
"153",0,"ind","don't know/refuse","white","female",3,50,3,3,2,3,5,3,3,2,3,2,2,3,5,1,4,7,4,10,8
"154",0,"dem","don't know/refuse","nonwhite","male",2,81,5,1,2,2,-5,5,4,5,1,NA,1,2,3,2,4,NA,NA,NA,5
"155",0,"dem","middle","white","male",2,52,2,1,1,1,3,1,3,4,2,NA,2,3,2,2,4,NA,2,5,3
"156",1,"ind","don't know/refuse","white","female",2,81,5,2,4,3,3,5,3,3,3,1,4,4,5,3,2,6,2,12,9
"157",0,"ind","don't know/refuse","white","male",2,27,4,4,4,4,7,5,2,4,2,2,3,3,3,4,4,10,5,14,12
"158",1,"dem","don't know/refuse",NA,"female",2,79,5,4,3,3,3,5,5,5,4,1,2,2,3,4,4,9,2,12,10
"159",0,"ind","working","white","male",2,5,5,2,3,2,5,5,3,3,2,NA,3,4,3,1,4,NA,4,14,7
"160",1,"ind","middle","nonwhite","male",2,27,4,1,3,2,5,3,4,4,4,1,3,4,3,4,3,8,4,11,6
"161",0,"dem","don't know/refuse","white","female",2,27,1,1,2,2,1,1,3,5,5,1,1,2,3,4,3,8,1,3,5
"162",0,"dem","don't know/refuse","white","female",2,32,1,1,1,1,4,1,5,5,5,1,2,2,-2,3,2,6,3,5,3
"163",0,"dem","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,1,NA,-6,5,3,NA,NA,NA,NA,NA,NA
"164",0,"ind","don't know/refuse","nonwhite","male",2,800,2,1,3,1,5,1,4,4,4,1,1,4,3,2,3,6,4,7,5
"165",0,"dem","middle","nonwhite","male",2,32,1,5,4,1,2,1,3,3,4,1,2,2,3,4,5,10,1,3,10
"166",0,"rep","don't know/refuse","nonwhite","female",2,55,3,3,3,3,4,3,2,5,4,NA,4,4,4,5,3,NA,3,9,9
"167",1,"ind","don't know/refuse","white","female",2,27,4,4,3,4,4,2,5,4,3,NA,3,3,1,4,5,NA,3,9,11
"168",1,"ind","middle","white",NA,2,64,5,3,3,1,4,5,-9,2,-9,1,2,3,4,1,2,4,3,13,7
"169",0,"dem","don't know/refuse","white","female",3,32,2,1,1,2,3,2,5,5,-9,1,2,2,2,1,2,4,2,6,4
"170",0,"rep","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,4,3,NA,NA,NA,NA,NA,NA
"171",0,"dem","don't know/refuse","white","female",2,27,5,NA,NA,NA,-9,5,3,-9,5,NA,-9,4,3,5,4,NA,NA,NA,NA
"172",1,"rep","don't know/refuse","white","female",2,50,5,3,3,3,7,3,4,5,4,3,3,5,3,2,4,9,5,13,9
"173",1,"rep","middle","white","male",2,50,5,4,5,5,7,5,3,3,2,4,4,4,1,4,2,10,5,15,14
"174",0,"ind","don't know/refuse","nonwhite","male",1,49,3,2,3,4,7,4,3,3,3,3,4,4,3,2,3,8,5,12,9
"175",0,"dem","middle","white","female",2,24,2,2,3,2,4,2,5,5,5,2,2,2,3,1,3,6,3,7,7
"176",0,"dem","don't know/refuse","white","female",1,48,4,1,1,2,3,5,3,4,4,2,2,2,3,3,3,8,2,11,4
"177",1,"rep","middle","white","male",2,79,5,1,1,1,2,1,2,4,3,NA,4,3,2,2,4,NA,1,7,3
"178",0,NA,"don't know/refuse","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,1,-6,1,1,-6,2,3,NA,NA,NA,NA,NA,NA
"179",0,"dem","don't know/refuse","nonwhite","female",3,35,4,2,2,2,5,1,1,2,2,NA,2,2,1,2,3,NA,4,9,6
"180",0,NA,"don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,4,2,-6,4,3,NA,NA,NA,NA,NA,NA
"181",1,"dem","don't know/refuse","white","male",2,27,3,3,3,3,3,4,5,4,2,3,3,4,3,3,4,10,2,9,9
"182",0,NA,"middle","white","male",2,4,3,3,2,2,5,5,1,5,2,1,3,4,2,3,3,7,4,12,7
"183",1,"ind","don't know/refuse","white","male",2,27,2,1,1,3,4,2,4,4,4,2,4,3,3,2,4,8,3,7,5
"184",1,"ind","don't know/refuse","white","female",2,48,1,4,3,4,4,1,3,5,5,NA,-8,4,3,2,2,NA,3,5,11
"185",0,"dem","middle","nonwhite","female",2,50,2,4,2,4,3,2,2,2,3,NA,5,5,1,4,1,NA,2,6,10
"186",0,"dem","don't know/refuse","nonwhite","female",3,81,4,1,1,1,5,3,2,5,5,3,4,4,3,1,3,7,4,11,3
"187",0,NA,"don't know/refuse",NA,"female",2,48,5,4,5,3,7,5,5,2,5,NA,1,2,2,3,3,NA,5,15,12
"188",0,"dem","don't know/refuse","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,2,-6,2,3,NA,NA,NA,NA,NA,NA
"189",1,"rep","don't know/refuse","white","female",2,5,4,2,3,2,5,5,4,4,2,NA,5,4,3,1,2,NA,4,13,7
"190",1,"rep","don't know/refuse","white","male",2,50,4,2,4,3,5,3,3,5,3,2,3,4,3,3,2,7,4,11,9
"191",0,"rep","middle",NA,"male",-6,-6,NA,NA,NA,NA,-6,NA,1,-6,3,NA,-6,5,3,NA,NA,NA,NA,NA,NA
"192",0,"rep","don't know/refuse","white","male",3,38,4,2,4,2,5,4,2,4,3,1,3,4,3,2,2,5,4,12,8
"193",0,"rep","don't know/refuse","nonwhite","male",2,50,2,2,2,1,2,3,4,3,4,NA,4,4,3,3,2,NA,1,6,5
"194",0,"dem","working","white","female",2,17,2,1,2,2,5,1,5,4,5,1,2,3,3,3,3,7,4,7,5
"195",0,"ind","don't know/refuse","white","male",2,41,4,3,3,4,2,4,3,3,3,1,2,3,3,2,3,6,1,9,10
"196",0,"ind","don't know/refuse","white","female",1,30,5,2,3,2,6,5,3,3,2,1,2,3,4,3,1,5,5,15,7
"197",0,"ind","working","white","male",2,41,5,2,2,4,6,4,4,5,4,NA,3,4,2,2,3,NA,5,14,8
"198",0,"ind","lower","nonwhite","female",2,31,4,3,3,2,5,5,2,3,4,NA,2,3,2,2,4,NA,4,13,8
"199",0,"dem","don't know/refuse",NA,"female",2,81,4,2,3,2,5,3,2,4,4,1,3,2,3,2,3,6,4,11,7
"200",0,"rep","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,2,1,-6,4,2,NA,NA,NA,NA,NA,NA
"201",1,"rep","don't know/refuse","white","female",2,64,5,4,4,2,3,4,4,3,2,1,4,4,2,1,4,6,2,11,10
"202",0,"rep","don't know/refuse","nonwhite","female",2,27,5,4,4,2,6,4,2,3,4,NA,4,5,3,1,3,NA,5,14,10
"203",0,"ind","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,3,2,-6,4,4,NA,NA,NA,NA,NA,NA
"204",0,"ind","upper","white","male",3,7,4,4,3,2,4,3,2,3,3,1,3,2,1,1,1,3,3,10,9
"205",1,"rep","don't know/refuse","white","male",1,64,2,2,2,2,4,3,4,4,3,1,3,5,3,1,3,5,3,8,6
"206",1,"rep","don't know/refuse","white","female",2,50,5,3,4,4,4,5,4,2,3,1,5,4,4,2,4,7,3,13,11
"207",1,"rep","working","white","female",2,46,4,2,2,2,5,4,3,4,3,1,3,4,3,3,3,7,4,12,6
"208",0,"rep","don't know/refuse","white","male",2,50,3,3,2,2,7,3,3,5,3,1,3,3,3,2,4,7,5,11,7
"209",0,"ind","don't know/refuse","nonwhite","male",2,50,1,2,2,2,4,1,1,4,5,1,2,3,1,4,4,9,3,5,6
"210",0,NA,"don't know/refuse","nonwhite","female",1,52,3,2,3,4,3,3,1,4,1,1,3,3,2,2,3,6,2,8,9
"211",0,"dem","middle","white","male",2,59,3,1,2,1,4,2,4,3,3,1,2,2,1,2,3,6,3,8,4
"212",0,"ind","middle","white","female",2,24,4,2,3,3,4,3,5,5,5,2,4,4,3,5,5,12,3,10,8
